file,width,height,decoded_bytes,entropy,repeat_frac,rl_count,rl_mean,rl_median,rl_max,rl_long_frac,distinct_values,mode_byte,mode_frac,lzw_bytes,lzw_ratio,lzw_hpred_bytes,lzw_hpred_ratio
00_advertisement.tif,762,1000,762000,2.049,0.814,141821,5.37,1,23684,0.779,256,255,0.802,184414,4.1,214412,3.6
01_budget.tif,772,1000,772000,1.059,0.926,57364,13.46,1,95346,0.912,256,255,0.91,78678,9.8,87195,8.9
02_email.tif,762,1000,762000,1.033,0.903,74280,10.26,1,64764,0.884,256,255,0.918,97543,7.8,116014,6.6
03_form.tif,762,1000,762000,0.283,0.981,14655,52.0,1,56435,0.98,256,255,0.978,20784,36.7,23997,31.8
04_handwritten.tif,774,1000,774000,1.302,0.88,92998,8.32,1,25638,0.866,256,255,0.895,124915,6.2,145330,5.3
05_invoice.tif,762,1000,762000,0.828,0.931,52370,14.55,1,61884,0.923,256,255,0.934,71499,10.7,83739,9.1
06_letter.tif,762,1000,762000,0.653,0.951,37604,20.26,1,83985,0.942,256,255,0.945,49941,15.3,57934,13.2
07_memo.tif,762,1000,762000,1.501,0.85,114358,6.66,1,102474,0.833,256,255,0.875,150887,5.1,180352,4.2
08_news.tif,762,1000,762000,1.957,0.787,162014,4.7,1,57110,0.747,256,255,0.828,202427,3.8,251008,3.0
09_note.tif,771,1000,771000,0.259,0.986,10824,71.23,1,2682,0.982,256,255,0.978,16755,46.0,18586,41.5
10_presentation.tif,762,1000,762000,2.057,0.784,164964,4.62,1,103745,0.738,256,255,0.816,209114,3.6,256553,3.0
11_questionnaire.tif,762,1000,762000,0.97,0.913,66090,11.53,1,59836,0.903,256,255,0.925,88984,8.6,104661,7.3
12_resume.tif,759,1000,759000,1.654,0.832,127180,5.97,1,3925,0.817,256,255,0.859,162796,4.7,194006,3.9
13_scientific.tif,777,1000,777000,1.156,0.892,83694,9.28,1,11633,0.88,256,255,0.905,110360,7.0,131274,5.9
14_specification.tif,774,1000,774000,0.845,0.926,57613,13.43,1,19727,0.911,256,255,0.934,79301,9.8,94567,8.2
